"product","Year","Cotton_yarn","Flock_yarn","Other_yarn","Total_yarn","Cotton_textiles","Flock_textiles","Other_textiles","Total_textiles","Raw_silk","pop"
"cotton_yarn_pop",1873,NA,NA,NA,NA,NA,NA,NA,NA,2960,NA
"cotton_yarn_pop",1874,NA,NA,NA,NA,NA,NA,NA,NA,3430,NA
"cotton_yarn_pop",1875,NA,NA,NA,NA,NA,NA,NA,NA,3073,NA
"cotton_yarn_pop",1876,NA,NA,NA,NA,NA,NA,NA,NA,1293,NA
"cotton_yarn_pop",1877,NA,NA,NA,NA,NA,NA,NA,NA,1853,NA
"cotton_yarn_pop",1878,NA,NA,NA,NA,NA,NA,NA,NA,2666,NA
"cotton_yarn_pop",1879,NA,NA,NA,NA,NA,NA,NA,NA,1324,NA
"cotton_yarn_pop",1880,NA,NA,NA,NA,NA,NA,NA,NA,2874,NA
"cotton_yarn_pop",1881,NA,NA,NA,NA,NA,NA,NA,NA,2747,NA
"cotton_yarn_pop",1882,NA,NA,NA,NA,NA,NA,NA,NA,2181,NA
"cotton_yarn_pop",1883,NA,NA,NA,NA,NA,NA,NA,NA,2994,NA
"cotton_yarn_pop",1884,NA,NA,NA,NA,NA,NA,NA,NA,2810,NA
"cotton_yarn_pop",1885,NA,NA,NA,NA,NA,NA,NA,NA,2457,NA
"cotton_yarn_pop",1886,NA,NA,NA,NA,NA,NA,NA,NA,3188,NA
"cotton_yarn_pop",1887,NA,NA,NA,NA,NA,NA,NA,NA,3476,NA
"cotton_yarn_pop",1888,NA,NA,NA,NA,NA,NA,NA,NA,3566,NA
"cotton_yarn_pop",1889,NA,NA,NA,NA,NA,NA,NA,NA,4175,NA
"cotton_yarn_pop",1890,NA,NA,NA,NA,NA,NA,NA,NA,4725,NA
"cotton_yarn_pop",1891,NA,NA,NA,NA,NA,NA,NA,NA,4380,NA
"cotton_yarn_pop",1892,NA,NA,NA,NA,NA,NA,NA,NA,4070,NA
"cotton_yarn_pop",1893,NA,NA,NA,NA,NA,NA,NA,NA,5430,NA
"cotton_yarn_pop",1894,NA,NA,NA,NA,NA,NA,NA,NA,5070,NA
"cotton_yarn_pop",1895,NA,NA,NA,NA,NA,NA,NA,NA,5105,NA
"cotton_yarn_pop",1896,NA,NA,NA,NA,NA,NA,NA,NA,4960,NA
"cotton_yarn_pop",1897,NA,NA,NA,NA,NA,NA,NA,NA,4400,NA
"cotton_yarn_pop",1898,NA,NA,NA,NA,NA,NA,NA,NA,4735,NA
"cotton_yarn_pop",1899,NA,NA,NA,NA,NA,NA,NA,NA,5100,NA
"cotton_yarn_pop",1900,NA,NA,NA,118602,NA,NA,NA,NA,5132,NA
"cotton_yarn_pop",1901,NA,NA,NA,117425,NA,NA,NA,NA,5049,NA
"cotton_yarn_pop",1902,NA,NA,NA,128071,NA,NA,NA,NA,5430,NA
"cotton_yarn_pop",1903,NA,NA,NA,133993,NA,NA,NA,NA,4626,NA
"cotton_yarn_pop",1904,NA,NA,NA,134502,NA,NA,NA,NA,5651,NA
"cotton_yarn_pop",1905,NA,NA,NA,143430,NA,NA,NA,NA,5552,NA
"cotton_yarn_pop",1906,NA,NA,NA,165818,NA,NA,NA,NA,6047,NA
"cotton_yarn_pop",1907,NA,NA,NA,189513,NA,NA,NA,NA,6173,NA
"cotton_yarn_pop",1908,NA,NA,NA,179776,NA,NA,NA,NA,5498,NA
"cotton_yarn_pop",1909,NA,NA,NA,165886,NA,NA,NA,NA,5661,NA
"cotton_yarn_pop",1910,NA,NA,NA,151824,NA,NA,NA,NA,4981,NA
"cotton_yarn_pop",1911,NA,NA,NA,165102,NA,NA,NA,NA,4714,NA
"cotton_yarn_pop",1912,NA,NA,NA,186216,NA,NA,NA,NA,5207,NA
"cotton_yarn_pop",1913,NA,NA,NA,175570,NA,NA,NA,NA,4702,NA
"cotton_yarn_pop",1914,NA,NA,NA,165818,NA,NA,NA,NA,4469,NA
"cotton_yarn_pop",1915,NA,NA,NA,253341,NA,NA,NA,NA,3066,NA
"cotton_yarn_pop",1916,NA,NA,NA,220566,NA,NA,NA,NA,3849,NA
"cotton_yarn_pop",1917,NA,NA,NA,156107,NA,NA,NA,NA,2864,NA
"cotton_yarn_pop",1918,NA,NA,NA,113371,NA,NA,NA,NA,2712,NA
"cotton_yarn_pop",1919,NA,NA,NA,155389,NA,NA,NA,NA,2134,NA
"cotton_yarn_pop",1920,NA,NA,NA,148220,NA,NA,NA,NA,3782,NA
"cotton_yarn_pop",1921,NA,NA,NA,132960,94010,NA,NA,94010,3478,NA
"cotton_yarn_pop",1922,NA,NA,NA,156000,101100,NA,NA,101100,3990,NA
"cotton_yarn_pop",1923,NA,NA,NA,164410,105430,NA,NA,105430,5223,NA
"cotton_yarn_pop",1924,NA,NA,NA,173207,121800,NA,NA,121800,5592,NA
"cotton_yarn_pop",1925,NA,NA,NA,198503,134240,NA,NA,134240,5097,NA
"cotton_yarn_pop",1926,NA,NA,NA,198700,130050,NA,NA,130050,4366,NA
"cotton_yarn_pop",1927,NA,NA,NA,178580,116000,NA,NA,116000,5010,NA
"cotton_yarn_pop",1928,NA,NA,NA,196000,125725,3644,781,130150,5568,NA
"cotton_yarn_pop",1929,NA,NA,NA,219820,135296,4500,844,140640,5521,NA
"cotton_yarn_pop",1930,NA,NA,NA,183980,109650,3530,810,113990,5289,NA
"cotton_yarn_pop",1931,NA,NA,NA,153380,94624,4364,782,99770,3660,NA
"cotton_yarn_pop",1932,NA,NA,NA,169060,95242,4690,818,100750,3927,NA
"cotton_yarn_pop",1933,NA,NA,NA,190780,109704,6336,1290,117330,3548,NA
"cotton_yarn_pop",1934,171424,NA,1636,173060,103055,6848,2357,112260,3081,87
"cotton_yarn_pop",1935,157957,NA,13253,171210,104486,10365,4289,119140,1727,80.2
"cotton_yarn_pop",1936,115776,23668,936,140380,83968,19123,3739,106830,3207,58.7
"cotton_yarn_pop",1937,139648,45086,2546,187280,90445,36126,4319,130890,3197,70.9
