"source_city_name","source_lng","source_lat","source_country_name","source_country_code","source_continent","target_city_name","target_lng","target_lat","target_country_name","target_country_code","target_continent"
"Bangkok",100.516666666,13.75,"Thailand","TH","Asia","Busan",129.075,35.18,"South Korea","KR","Asia"
"Ningbo",121.549166666,29.875,"China","CN","Asia","Daegu",128.601666666,35.871666666,"South Korea","KR","Asia"
"Yekaterinburg",60.612777777,56.835555555,"Russia","RU","Europe","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Saint Petersburg",30.316666666,59.95,"Russia","RU","Europe","Busan",129.075,35.18,"South Korea","KR","Asia"
"Novosibirsk",82.916666666,55.033333333,"Russia","RU","Europe","Daejeon",127.385,36.35,"South Korea","KR","Asia"
"Saint Petersburg",30.316666666,59.95,"Russia","RU","Europe","Daegu",128.601666666,35.871666666,"South Korea","KR","Asia"
"Saint Petersburg",30.316666666,59.95,"Russia","RU","Europe","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Yangzhou",119.43625,32.39117,"China","CN","Asia","Daegu",128.601666666,35.871666666,"South Korea","KR","Asia"
"Tomsk",84.952222222,56.488611111,"Russia","RU","Europe","Ulsan",129.316666666,35.55,"South Korea","KR","Asia"
"San Antonio",-98.493888888,29.425,"United States of America","US","North America","Gwangju",126.916666666,35.166666666,"South Korea","KR","Asia"
"Chennai",80.275,13.0825,"India","IN","Asia","Ulsan",129.316666666,35.55,"South Korea","KR","Asia"
"Hualien City",121.606388888,23.972222222,"Taiwan","CN-TW","Asia","Ulsan",129.316666666,35.55,"South Korea","KR","Asia"
"Haiphong",106.666666666,20.8,"Vietnam","VN","Asia","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Dalian",121.6,38.9,"China","CN","Asia","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Shanghai",121.4691024,31.2323437,"China","CN","Asia","Busan",129.075,35.18,"South Korea","KR","Asia"
"Portland",-122.666666666,45.516666666,"United States of America","US","North America","Ulsan",129.316666666,35.55,"South Korea","KR","Asia"
"Panama City",-79.534722222,8.971111111,"Panama","PA","North America","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Guadalajara",-103.3475,20.676666666,"Mexico","MX","North America","Daejeon",127.385,36.35,"South Korea","KR","Asia"
"Tainan",120.183333333,22.983333333,"Taiwan","CN-TW","Asia","Gwangju",126.916666666,35.166666666,"South Korea","KR","Asia"
"Thessaloniki",22.935555555,40.640277777,"Greece","GR","Europe","Busan",129.075,35.18,"South Korea","KR","Asia"
"Honolulu",-157.857222222,21.304722222,"United States of America","US","North America","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Mérida",-89.62,20.97,"Mexico","MX","North America","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Penza",45,53.2,"Russia","RU","Europe","Busan",129.075,35.18,"South Korea","KR","Asia"
"Durban",31.025,-29.858333333,"South Africa","ZA","Africa","Daejeon",127.385,36.35,"South Korea","KR","Asia"
"Qingdao",120.4,36.116666666,"China","CN","Asia","Daegu",128.601666666,35.871666666,"South Korea","KR","Asia"
"Shenyang",123.428055555,41.8025,"China","CN","Asia","Daejeon",127.385,36.35,"South Korea","KR","Asia"
"Fukuoka",130.401666666,33.59,"Japan","JP","Asia","Busan",129.075,35.18,"South Korea","KR","Asia"
"Nanjing",118.778888888,32.060833333,"China","CN","Asia","Daejeon",127.385,36.35,"South Korea","KR","Asia"
"Hiroshima",132.455305555,34.38525,"Japan","JP","Asia","Daegu",128.601666666,35.871666666,"South Korea","KR","Asia"
"Tianjin",117.205555555,39.146666666,"China","CN","Asia","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Guangzhou",113.26,23.13,"China","CN","Asia","Gwangju",126.916666666,35.166666666,"South Korea","KR","Asia"
"Sendai",140.869416666,38.268222222,"Japan","JP","Asia","Gwangju",126.916666666,35.166666666,"South Korea","KR","Asia"
"Anchorage",-149.893611111,61.216666666,"United States of America","US","North America","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Burbank",-118.328333333,34.180277777,"United States of America","US","North America","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Brisbane",153.027777777,-27.467777777,"Australia","AU","Oceania","Daejeon",127.385,36.35,"South Korea","KR","Asia"
"Shimonoseki",130.941333333,33.957888888,"Japan","JP","Asia","Busan",129.075,35.18,"South Korea","KR","Asia"
"Atlanta",-84.390277777,33.756944444,"United States of America","US","North America","Daegu",128.601666666,35.871666666,"South Korea","KR","Asia"
"Kaohsiung",120.2975,22.615,"Taiwan","CN-TW","Asia","Busan",129.075,35.18,"South Korea","KR","Asia"
"Calgary",-114.066666666,51.05,"Canada","CA","North America","Daejeon",127.385,36.35,"South Korea","KR","Asia"
"Valparaíso",-71.619722222,-33.046111111,"Chile","CL","South America","Busan",129.075,35.18,"South Korea","KR","Asia"
"Tel Aviv",34.78,32.08,"Israel","IL","Asia","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Da Nang",108.209722222,16.069444444,"Vietnam","VN","Asia","Daegu",128.601666666,35.871666666,"South Korea","KR","Asia"
"Sapporo",141.354444444,43.061944444,"Japan","JP","Asia","Daejeon",127.385,36.35,"South Korea","KR","Asia"
"Kitakyushu",130.875194444,33.883416666,"Japan","JP","Asia","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Kumamoto",130.707861111,32.803,"Japan","JP","Asia","Ulsan",129.316666666,35.55,"South Korea","KR","Asia"
"Espoo",24.655555555,60.205555555,"Finland","FI","Europe","Kryvyi Rih",33.39,47.91,"Ukraine","UA","Europe"
"Handan",114.48937,36.61161,"China","CN","Asia","Kryvyi Rih",33.39,47.91,"Ukraine","UA","Europe"
"Miskolc",20.783333333,48.1,"Hungary","HU","Europe","Kryvyi Rih",33.39,47.91,"Ukraine","UA","Europe"
"Nizhny Tagil",59.966666666,57.916666666,"Russia","RU","Europe","Kryvyi Rih",33.39,47.91,"Ukraine","UA","Europe"
"Rustavi",45.011666666,41.543611111,"Georgia","GE","Asia","Kryvyi Rih",33.39,47.91,"Ukraine","UA","Europe"
"Košice",21.25,48.716666666,"Slovakia","SK","Europe","Kryvyi Rih",33.39,47.91,"Ukraine","UA","Europe"
"Lublin",22.566666666,51.25,"Poland","PL","Europe","Kryvyi Rih",33.39,47.91,"Ukraine","UA","Europe"
"Udine",13.233333333,46.066666666,"Italy","IT","Europe","Villach",13.833333333,46.616666666,"Austria","AT","Europe"
"Udine",13.233333333,46.066666666,"Italy","IT","Europe","Klagenfurt am Wörthersee",14.3,46.616666666,"Austria","AT","Europe"
"Dubrovnik",18.108333333,42.640277777,"Croatia","HR","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Celje",15.264128741,46.22909194,"Slovenia","SI","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Bethlehem",35.206111111,31.704444444,"Palestine","PS","Asia","Steyr",14.416666666,48.05,"Austria","AT","Europe"
"Charlottenburg borough",13.2836,52.5147,"Germany","DE","Europe","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Merano",11.159419,46.669555,"Italy","IT","Europe","Salzburg",13.045,47.8,"Austria","AT","Europe"
"San Carlos",-84.778344444,11.123038888,"Nicaragua","NI","North America","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Nof HaGalil",35.324722222,32.708055555,"Israel","IL","Asia","Klagenfurt am Wörthersee",14.3,46.616666666,"Austria","AT","Europe"
"Singida",34.750555555,-4.818611111,"Tanzania","TZ","Africa","Salzburg",13.045,47.8,"Austria","AT","Europe"
"Nazareth",35.29785,32.702102777,"Israel","IL","Asia","Klagenfurt am Wörthersee",14.3,46.616666666,"Austria","AT","Europe"
"Albufeira",-8.24583,37.0897,"Portugal","PT","Europe","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Sopron",16.583333333,47.683333333,"Hungary","HU","Europe","Eisenstadt",16.52327,47.845649,"Austria","AT","Europe"
"Harbin",126.633333333,45.75,"China","CN","Asia","Wiener Neustadt",16.25,47.816666666,"Austria","AT","Europe"
"Sanuki",134.172055555,34.325305555,"Japan","JP","Asia","Eisenstadt",16.52327,47.845649,"Austria","AT","Europe"
"Bistrița",24.483333333,47.133333333,"Romania","RO","Europe","Wels",14.016666666,48.15,"Austria","AT","Europe"
"Kawasaki",139.703,35.530888888,"Japan","JP","Asia","Salzburg",13.045,47.8,"Austria","AT","Europe"
"Ōmachi",137.851111111,36.503,"Japan","JP","Asia","Innsbruck",11.393333333,47.268333333,"Austria","AT","Europe"
"Altoona",-78.3997,40.5107,"United States of America","US","North America","St. Pölten",15.616666666,48.2,"Austria","AT","Europe"
"Plauen",12.138333333,50.495,"Germany","DE","Europe","Steyr",14.416666666,48.05,"Austria","AT","Europe"
"Dachau",11.434166666,48.260277777,"Germany","DE","Europe","Klagenfurt am Wörthersee",14.3,46.616666666,"Austria","AT","Europe"
"Monheim am Rhein",6.9,51.1,"Germany","DE","Europe","Wiener Neustadt",16.25,47.816666666,"Austria","AT","Europe"
"Grapevine",-97.0858,32.935,"United States of America","US","North America","Krems",15.616666666,48.416666666,"Austria","AT","Europe"
"Kulmbach",11.455555555,50.108055555,"Germany","DE","Europe","Rust",16.675833333,47.800833333,"Austria","AT","Europe"
"Linz am Rhein",7.284722222,50.570277777,"Germany","DE","Europe","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Dessau-Roßlau",12.233333,51.833333,"Germany","DE","Europe","Klagenfurt am Wörthersee",14.3,46.616666666,"Austria","AT","Europe"
"Heidenheim an der Brenz",10.154444444,48.676111111,"Germany","DE","Europe","St. Pölten",15.616666666,48.2,"Austria","AT","Europe"
"Böblingen",9,48.683333,"Germany","DE","Europe","Krems",15.616666666,48.416666666,"Austria","AT","Europe"
"Straubing",12.575833333,48.877222222,"Germany","DE","Europe","Wels",14.016666666,48.15,"Austria","AT","Europe"
"Bad Kissingen",10.066666666,50.2,"Germany","DE","Europe","Eisenstadt",16.52327,47.845649,"Austria","AT","Europe"
"Freising",11.748888888,48.402777777,"Germany","DE","Europe","Waidhofen an der Ybbs",14.77453,47.95964,"Austria","AT","Europe"
"Kettering",-84.152222222,39.697222222,"United States of America","US","North America","Steyr",14.416666666,48.05,"Austria","AT","Europe"
"Tbilisi",44.7925,41.7225,"Georgia","GE","Asia","Innsbruck",11.393333333,47.268333333,"Austria","AT","Europe"
"Chengdu",104.063333333,30.66,"China","CN","Asia","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Bamberg",10.891666666,49.891666666,"Germany","DE","Europe","Villach",13.833333333,46.616666666,"Austria","AT","Europe"
"Reims",4.028611111,49.265277777,"France","FR","Europe","Salzburg",13.045,47.8,"Austria","AT","Europe"
"Gwangyang",127.701666666,34.940277777,"South Korea","KR","Asia","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Ljubljana",14.506111111,46.051388888,"Slovenia","SI","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Modena",10.92572,44.64582,"Italy","IT","Europe","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Bern",7.44743,46.94798,"Switzerland","CH","Europe","Salzburg",13.045,47.8,"Austria","AT","Europe"
